"Day","ActiveTableSize","InactiveTableSize","PercentNotExpired","TableSwapOccurred","RowsCopied","NextTableSwap"
"1","100","0","100","False","0","8"
"2","200","0","100","False","0","8"
"3","300","0","100","False","0","8"
"4","400","0","100","False","0","8"
"5","500","0","100","False","0","8"
"6","600","0","100","False","0","8"
"7","700","0","100","False","0","8"
"8","0","800","100","False","0","15"
"9","100","800","100","False","0","15"
"10","200","800","100","False","0","15"
"11","300","800","100","False","0","15"
"12","400","800","100","False","0","15"
"13","500","800","100","False","0","15"
"14","600","800","100","False","0","15"
"15","800","700","100","False","800","22"
"16","900","700","100","False","0","22"
"17","1000","700","100","False","0","22"
"18","1100","700","100","False","0","22"
"19","1200","700","100","False","0","22"
"20","1300","700","100","False","0","22"
"21","1400","700","100","False","0","22"
"22","700","1500","100","False","700","29"
"23","800","1500","100","False","0","29"
"24","900","1500","100","False","0","29"
"25","1000","1500","100","False","0","29"
"26","1100","1500","100","False","0","29"
"27","1200","1500","100","False","0","29"
"28","1300","1500","100","False","0","29"
"29","1500","1400","100","False","1500","36"
"30","1600","1400","100","False","0","36"
"31","1700","1400","100","False","0","36"
"32","1800","1400","100","False","0","36"
"33","1900","1400","100","False","0","36"
"34","2000","1400","100","False","0","36"
"35","2100","1400","100","False","0","36"
"36","1400","2200","100","False","1400","43"
"37","1500","2200","73","False","0","43"
"38","1600","2200","68","False","0","43"
"39","1700","2200","64","False","0","43"
"40","1800","2200","64","False","0","43"
"41","1900","2200","64","False","0","43"
"42","2000","2200","64","False","0","43"
"43","1400","2100","64","False","1400","50"
"44","1500","2100","76","False","0","50"
"45","1600","2100","71","False","0","50"
"46","1700","2100","67","False","0","50"
"47","1800","2100","67","False","0","50"
"48","1900","2100","67","False","0","50"
"49","2000","2100","67","False","0","50"
"50","1400","2100","67","False","1400","57"
"51","1500","2100","76","False","0","57"
"52","1600","2100","71","False","0","57"
"53","1700","2100","67","False","0","57"
"54","1800","2100","67","False","0","57"
"55","1900","2100","67","False","0","57"
"56","2000","2100","67","False","0","57"
"57","1400","2100","67","False","1400","64"
"58","1500","2100","76","False","0","64"
"59","1600","2100","71","False","0","64"
"60","1700","2100","67","False","0","64"
"61","1800","2100","67","False","0","64"
"62","1900","2100","67","False","0","64"
"63","2000","2100","67","False","0","64"
"64","1400","2100","67","False","1400","71"
"65","1500","2100","76","False","0","71"
"66","1600","2100","71","False","0","71"
"67","1700","2100","67","False","0","71"
"68","1800","2100","67","False","0","71"
"69","1900","2100","67","False","0","71"
"70","2000","2100","67","False","0","71"
"71","1400","2100","67","False","1400","78"
"72","1500","2100","76","False","0","78"
"73","1600","2100","71","False","0","78"
"74","1700","2100","67","False","0","78"
"75","1800","2100","67","False","0","78"
"76","1900","2100","67","False","0","78"
"77","2000","2100","67","False","0","78"
"78","1400","2100","67","False","1400","85"
"79","1500","2100","76","False","0","85"
"80","1600","2100","71","False","0","85"
"81","1700","2100","67","False","0","85"
"82","1800","2100","67","False","0","85"
"83","1900","2100","67","False","0","85"
"84","2000","2100","67","False","0","85"
"85","1400","2100","67","False","1400","92"
"86","1500","2100","76","False","0","92"
"87","1600","2100","71","False","0","92"
"88","1700","2100","67","False","0","92"
"89","1800","2100","67","False","0","92"
"90","1900","2100","67","False","0","92"
"91","2000","2100","67","False","0","92"
"92","1400","2100","67","False","1400","99"
"93","1500","2100","76","False","0","99"
"94","1600","2100","71","False","0","99"
"95","1700","2100","67","False","0","99"
"96","1800","2100","67","False","0","99"
"97","1900","2100","67","False","0","99"
"98","2000","2100","67","False","0","99"
"99","1400","2100","67","False","1400","106"
"100","1500","2100","76","False","0","106"
"101","1600","2100","71","False","0","106"
"102","1700","2100","67","False","0","106"
"103","1800","2100","67","False","0","106"
"104","1900","2100","67","False","0","106"
"105","2000","2100","67","False","0","106"
"106","1400","2100","67","False","1400","113"
"107","1500","2100","76","False","0","113"
"108","1600","2100","71","False","0","113"
"109","1700","2100","67","False","0","113"
"110","1800","2100","67","False","0","113"
"111","1900","2100","67","False","0","113"
"112","2000","2100","67","False","0","113"
"113","1400","2100","67","False","1400","120"
"114","1500","2100","76","False","0","120"
"115","1600","2100","71","False","0","120"
"116","1700","2100","67","False","0","120"
"117","1800","2100","67","False","0","120"
"118","1900","2100","67","False","0","120"
"119","2000","2100","67","False","0","120"
"120","1400","2100","67","False","1400","127"
"121","1500","2100","76","False","0","127"
"122","1600","2100","71","False","0","127"
